     1      1  (       9.109589,       -25.508904)
     2      2  (      10.882353,       -61.858901)
     3      3  (       2.000000,       -25.850000)
     4      4  (       2.000000,       -19.413368)
     5      5  (       9.991942,       -46.638316)
     5      1  (      -4.109589,        10.958904)
     1      5  (      -4.109589,        10.958904)
     2      1  (      -5.000000,        15.000000)
     1      2  (      -5.000000,        15.000000)
     5      2  (      -5.882353,        23.529412)
     2      5  (      -5.882353,        23.529412)
     4      3  (      -2.000000,         6.000000)
     3      4  (      -2.000000,         6.000000)
     5      4  (       0.000000,        13.020833)
     4      5  (       0.000000,        13.020833)
     3      2  (       0.000000,        21.739130)
     2      3  (       0.000000,        21.739130)
